# phone_timestamp_us, pc_timestamp_us
113692594200, 1781790248745349
113692627545, 1781790248778735
113692660891, 1781790248811869
113692694236, 1781790248845379
113692727581, 1781790248878929
113692760927, 1781790248911849
113692794272, 1781790248945492
113692827618, 1781790248979122
113692860963, 1781790249012605
113692894309, 1781790249046377
113692927654, 1781790249078814
113692961000, 1781790249112362
113692994345, 1781790249145344
113693027690, 1781790249178910
113693061036, 1781790249212201
113693094381, 1781790249245593
113693127727, 1781790249278892
113693161072, 1781790249311905
113693194418, 1781790249345408
113693227763, 1781790249380173
113693261109, 1781790249412264
113693294454, 1781790249446116
113693327800, 1781790249479091
113693361145, 1781790249512903
113693394490, 1781790249546124
113693427836, 1781790249578836
113693461181, 1781790249612616
113693494527, 1781790249645697
113693527872, 1781790249678737
113693561218, 1781790249712214
113693594563, 1781790249745696
113693627909, 1781790249778761
113693661254, 1781790249812665
113693694599, 1781790249846236
113693727945, 1781790249879143
113693761290, 1781790249912618
113693794636, 1781790249945450
113693827981, 1781790249979264
113693861327, 1781790250013864
113693894672, 1781790250046132
113693928018, 1781790250079166
113693961363, 1781790250112351
113693994708, 1781790250145622
113694028054, 1781790250179237
113694061399, 1781790250212752
113694094745, 1781790250245850
113694128090, 1781790250279799
113694161436, 1781790250313286
113694194781, 1781790250345905
113694228126, 1781790250379565
113694261472, 1781790250412180
113694294817, 1781790250445518
113694328163, 1781790250479418
113694361508, 1781790250512465
113694394854, 1781790250545324
113694428199, 1781790250579158
113694461544, 1781790250612602
113694494890, 1781790250646560
113694528235, 1781790250678868
113694561581, 1781790250712126
113694594926, 1781790250745389
113694628272, 1781790250778843
113694661617, 1781790250812100
113694694962, 1781790250845853
113694728308, 1781790250878688
113694761653, 1781790250911994
113694794999, 1781790250945756
113694828344, 1781790250979201
113694861690, 1781790251012839
113694895035, 1781790251045559
113694928381, 1781790251079224
113694961726, 1781790251111980
113694995071, 1781790251145510
113695028417, 1781790251178993
113695061762, 1781790251212259
113695095108, 1781790251245877
113695128453, 1781790251279218
113695161799, 1781790251312789
113695195144, 1781790251346296
113695228489, 1781790251382455
113695261835, 1781790251412638
113695295180, 1781790251445728
113695328526, 1781790251479516
113695361871, 1781790251512740
113695395217, 1781790251545909
113695428562, 1781790251579638
113695461907, 1781790251612797
113695495253, 1781790251645909
113695528598, 1781790251678858
113695561944, 1781790251712706
113695595289, 1781790251745692
113695628635, 1781790251779400
113695661980, 1781790251812766
113695695325, 1781790251845890
113695728671, 1781790251879072
113695762016, 1781790251912526
113695795362, 1781790251945319
113695828707, 1781790251978938
113695862053, 1781790252012715
113695895398, 1781790252045820
113695928743, 1781790252078862
113695962089, 1781790252112126
113695995434, 1781790252145934
113696028780, 1781790252179263
113696062125, 1781790252212148
113696095470, 1781790252245791
113696128816, 1781790252279404
113696162161, 1781790252311984
113696195507, 1781790252345484
113696228852, 1781790252380117
113696262198, 1781790252412397
113696295543, 1781790252445997
113696328888, 1781790252479557
113696362234, 1781790252512350
113696395579, 1781790252545163
113696428925, 1781790252579010
113696462270, 1781790252611952
113696495616, 1781790252645297
113696528961, 1781790252678921
113696562306, 1781790252711908
113696595652, 1781790252745222
113696628997, 1781790252778640
113696662343, 1781790252814562
113696695688, 1781790252845752
113696729033, 1781790252878787
113696762379, 1781790252912545
113696795724, 1781790252945459
113696829070, 1781790252978682
113696862415, 1781790253012379
113696895761, 1781790253045590
113696929106, 1781790253079109
113696962451, 1781790253112057
113696995797, 1781790253145379
113697029142, 1781790253178860
113697062488, 1781790253212173
113697095833, 1781790253245445
113697129179, 1781790253278690
113697162524, 1781790253312174
113697195869, 1781790253345820
113697229215, 1781790253378768
113697262560, 1781790253412111
113697295906, 1781790253445498
113697329251, 1781790253478747
113697362596, 1781790253514052
113697395942, 1781790253545853
113697429287, 1781790253579340
113697462633, 1781790253611902
113697495978, 1781790253649351
113697529323, 1781790253678875
113697562669, 1781790253712137
113697596014, 1781790253745119
113697629360, 1781790253778724
113697662705, 1781790253813224
113697696051, 1781790253845391
113697729396, 1781790253878528
113697762741, 1781790253912821
113697796087, 1781790253945764
113697829432, 1781790253979181
113697862778, 1781790254012859
113697896123, 1781790254045658
113697929468, 1781790254078543
113697962814, 1781790254112314
113697996159, 1781790254145381
113698029505, 1781790254178661
113698062850, 1781790254215346
113698096195, 1781790254245736
113698129541, 1781790254278988
113698162886, 1781790254311725
113698196232, 1781790254345519
113698229577, 1781790254379641
113698262923, 1781790254412271
113698296268, 1781790254445831
113698329613, 1781790254478750
113698362959, 1781790254512337
