phone_ts_ms	host_ts_ms	offset_ms
1781814740534	1781814740162	-372
1781814741033	1781814740655	-378
1781814741527	1781814741149	-378
1781814742024	1781814741646	-378
1781814742520	1781814742142	-378
1781814743024	1781814742647	-377
1781814743524	1781814743145	-379
1781814744024	1781814743645	-379
1781814744523	1781814744143	-380
1781814745020	1781814744641	-379
1781814745520	1781814745144	-376
1781814746020	1781814745642	-378
1781814746527	1781814746149	-378
1781814747020	1781814746641	-379
1781814747520	1781814747142	-378
1781814748020	1781814747641	-379
1781814748520	1781814748143	-377
1781814749020	1781814748641	-379
1781814749523	1781814749149	-374
1781814750031	1781814749652	-379
1781814750532	1781814750153	-379
1781814751032	1781814750654	-378
1781814751526	1781814751150	-376
1781814752028	1781814751648	-380
1781814752527	1781814752148	-379
1781814753027	1781814752648	-379
1781814753530	1781814753150	-380
1781814754025	1781814753648	-377
1781814754528	1781814754150	-378
1781814755020	1781814754641	-379
1781814755577	1781814755198	-379
1781814829559	1781814829186	-373
1781814830050	1781814829668	-382
1781814830550	1781814830169	-381
1781814831050	1781814830669	-381
1781814831550	1781814831168	-382
1781814832050	1781814831669	-381
1781814832558	1781814832177	-381
1781814833051	1781814832670	-381
1781814833550	1781814833168	-382
1781814834052	1781814833672	-380
1781814834551	1781814834169	-382
1781814835052	1781814834673	-379
1781814835552	1781814835174	-378
1781814836051	1781814835670	-381
1781814836550	1781814836168	-382
1781814837050	1781814836670	-380
1781814837550	1781814837169	-381
1781814838051	1781814837670	-381
1781814838569	1781814838188	-381
1781814839061	1781814838682	-379
1781814839562	1781814839182	-380
1781814840060	1781814839678	-382
1781814840560	1781814840179	-381
1781814841059	1781814840680	-379
1781814841560	1781814841180	-380
1781814842056	1781814841676	-380
1781814842560	1781814842178	-382
1781814843058	1781814842677	-381
1781814843559	1781814843178	-381
1781814844056	1781814843675	-381
1781814844556	1781814844175	-381
1781814845053	1781814844671	-382
1781814845555	1781814845174	-381
1781814846056	1781814845675	-381
1781814846551	1781814846170	-381
1781814847051	1781814846670	-381
1781814847550	1781814847168	-382
1781814848051	1781814847671	-380
1781814848562	1781814848182	-380
1781814849053	1781814848673	-380
1781814849552	1781814849171	-381
1781814850055	1781814849674	-381
1781814850555	1781814850175	-380
1781814851050	1781814850669	-381
1781814851551	1781814851169	-382
1781814852050	1781814851669	-381
1781814852550	1781814852170	-380
1781814853057	1781814852676	-381
1781814853557	1781814853176	-381
1781814854059	1781814853677	-382
1781814854557	1781814854175	-382
1781814855057	1781814854675	-382
1781814855560	1781814855178	-382
1781814856058	1781814855677	-381
1781814856559	1781814856182	-377
1781814857055	1781814856673	-382
1781814857561	1781814857181	-380
1781814858056	1781814857675	-381
1781814858556	1781814858175	-381
1781814859052	1781814858671	-381
1781814859551	1781814859169	-382
1781814860054	1781814859672	-382
1781814860554	1781814860177	-377
1781814861051	1781814860670	-381
1781814861559	1781814861179	-380
1781814862058	1781814861677	-381
1781814862556	1781814862175	-381
1781814863052	1781814862675	-377
1781814863550	1781814863170	-380
1781814864052	1781814863674	-378
1781814864560	1781814864182	-378
1781814865053	1781814864672	-381
1781814865550	1781814865171	-379
1781814866054	1781814865673	-381
1781814866554	1781814866172	-382
1781814867050	1781814866671	-379
phone_ts_ms	host_ts_ms	offset_ms
1781815436016	1781815435623	-393
1781815436047	1781815435649	-398
1781815436080	1781815435682	-398
1781815436113	1781815435717	-396
1781815436146	1781815435749	-397
1781815436179	1781815435784	-395
1781815436212	1781815435814	-398
1781815436245	1781815435852	-393
1781815436278	1781815435880	-398
1781815436312	1781815435914	-398
1781815436345	1781815435947	-398
1781815436377	1781815435979	-398
1781815436410	1781815436012	-398
1781815436443	1781815436045	-398
1781815436477	1781815436079	-398
1781815436512	1781815436114	-398
1781815436543	1781815436145	-398
1781815436576	1781815436179	-397
1781815436608	1781815436212	-396
1781815436646	1781815436249	-397
1781815436676	1781815436279	-397
1781815436711	1781815436317	-394
1781815436745	1781815436347	-398
1781815436777	1781815436379	-398
1781815436808	1781815436416	-392
1781815436841	1781815436444	-397
1781815436873	1781815436479	-394
1781815436906	1781815436510	-396
1781815436941	1781815436545	-396
1781815436974	1781815436577	-397
1781815437008	1781815436610	-398
1781815437038	1781815436641	-397
1781815437077	1781815436684	-393
1781815437109	1781815436715	-394
1781815437143	1781815436746	-397
1781815437175	1781815436780	-395
1781815437213	1781815436819	-394
1781815437242	1781815436844	-398
1781815437279	1781815436882	-397
1781815437312	1781815436915	-397
1781815437345	1781815436953	-392
1781815437376	1781815436979	-397
1781815437401	1781815437003	-398
1781815437439	1781815437042	-397
1781815437474	1781815437076	-398
1781815437505	1781815437108	-397
1781815437539	1781815437142	-397
1781815437565	1781815437167	-398
1781815437608	1781815437210	-398
1781815437639	1781815437241	-398
1781815437674	1781815437277	-397
1781815437707	1781815437310	-397
1781815437741	1781815437344	-397
1781815437774	1781815437377	-397
1781815437805	1781815437408	-397
1781815437830	1781815437436	-394
1781815437862	1781815437464	-398
1781815437895	1781815437497	-398
1781815437928	1781815437534	-394
1781815437962	1781815437567	-395
1781815437994	1781815437597	-397
1781815438027	1781815437630	-397
1781815438060	1781815437662	-398
1781815438093	1781815437697	-396
1781815438126	1781815437729	-397
1781815438159	1781815437773	-386
1781815438192	1781815437795	-397
1781815438225	1781815437828	-397
1781815438258	1781815437861	-397
1781815438291	1781815437897	-394
1781815438324	1781815437927	-397
1781815438357	1781815437960	-397
1781815438393	1781815437998	-395
1781815438424	1781815438027	-397
1781815438458	1781815438061	-397
1781815438494	1781815438096	-398
1781815438522	1781815438124	-398
1781815438557	1781815438160	-397
1781815438593	1781815438196	-397
1781815438621	1781815438224	-397
1781815438658	1781815438260	-398
1781815438689	1781815438293	-396
